name,ingredients,diet,course,procedure,state,img_url,,,,,,
Aloo gobhi,"Cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,main course,"Step 1:
Heat 2 tbsp oil in a pan, add 1 tsp cumin seeds and let them splutter. Add 1 chopped onion and sauté until golden brown.

Step 2:
Add 1 tsp ginger-garlic paste and 1 chopped green chili. Sauté for 1 minute.

Step 3:
Add 2 chopped tomatoes and cook until soft. Add 1 tsp turmeric powder, 1 tsp red chili powder, 1 tsp coriander powder, and salt. Cook until oil separates.

Step 4:
Add fried potatoes and cauliflower florets. Mix well and cover the lid. Cook for 10-12 mins on low flame until soft.

Step 5:
Sprinkle garam masala and garnish with fresh coriander leaves. Add lemon juice if desired.
",Punjab,https://static01.nyt.com/images/2023/12/21/multimedia/ND-Aloo-Gobi-gkwc/ND-Aloo-Gobi-gkwc-mediumSquareAt3X.jpg,,,,,,
Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",vegetarian,main course,"Step 1:
Heat 2 tbsp oil in a pan, add 1 tsp cumin seeds and let them crackle. Add 1 chopped onion and sauté until golden brown.

Step 2:
Add 1 tsp ginger-garlic paste and 1 green chili. Sauté for 1-2 mins until raw smell goes away.

Step 3:
Add 2 chopped tomatoes, 1 tsp turmeric powder, 1 tsp red chili powder, and 1 tsp coriander powder. Cook until tomatoes turn soft and oil separates.

Step 4:
Add diced potatoes and mix well. Pour 1 cup water and cover the lid. Cook on medium flame for 10 mins.

Step 5:
Add green peas and cook for another 5-7 mins until potatoes and peas are soft.

Step 6:
Sprinkle garam masala and garnish with fresh coriander leaves.",Punjab,https://www.cubesnjuliennes.com/wp-content/uploads/2020/07/Punjabi-Aloo-Matar-Recipe.jpg,,,,,,
Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil",vegetarian,main course,"Step 1:
Heat 2 tbsp oil in a pan, add 1 tsp cumin seeds and let them crackle. Add chopped garlic and sauté until golden.

Step 2:
Add diced potatoes, turmeric powder, and salt. Cook on medium flame for 8-10 mins until potatoes are half cooked.

Step 3:
Add chopped methi leaves and mix well. Cook for 5 mins until methi starts releasing water.

Step 4:
Add red chili powder, coriander powder, and salt. Mix everything and cook until potatoes are fully cooked and methi becomes dry.

Step 5:
Sprinkle garam masala and lemon juice. Mix well and garnish with fresh coriander leaves.
",Punjab,https://www.vegrecipesofindia.com/wp-content/uploads/2021/01/aloo-methi-1-1152x1536.jpg,,,,,,
Aloo shimla mirch,"Potato, Capsicum, garam masala, amchur powder, salt",vegetarian,main course,"Steps:
Step 1:
Heat 2 tbsp oil in a pan, add 1 tsp cumin seeds and let them splutter. Add sliced onion and sauté until golden brown.

Step 2:
Add 1 tsp ginger-garlic paste and green chili. Sauté for 1 minute.

Step 3:
Add chopped tomatoes, turmeric powder, red chili powder, coriander powder, and salt. Cook until tomatoes turn soft and oil separates.

Step 4:
Add diced potatoes and cover the lid. Cook on low flame for 10 mins, stirring occasionally.

Step 5:
Add diced capsicum and mix well. Cook for 7-8 mins until both potatoes and capsicum are soft.

Step 6:
Sprinkle garam masala and garnish with fresh coriander leaves.
",Punjab,https://www.vegrecipesofindia.com/wp-content/uploads/2014/06/bharwan-shimla-mirch-recipe-500x500.jpg,,,,,,
Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",vegetarian,main course,"Step 1:
In a bowl, take 4 boiled & mashed potatoes, add 2 green chilies (finely chopped), 1 tsp grated ginger, 1 tsp red chili powder, 1 tsp coriander powder, 1/2 tsp cumin powder, 1/2 tsp garam masala, and salt to taste. Mix well.

Step 2:
Add 2 tbsp cornstarch or breadcrumbs to bind the mixture. Knead into a soft dough.

Step 3:
Grease your hands with oil and shape the mixture into small round flat tikkis.

Step 4:
Heat oil in a pan and shallow fry the tikkis on medium flame until golden and crispy on both sides.

Step 5:
Drain on paper towels and serve hot with green chutney or ketchup.",Punjab,https://www.indianhealthyrecipes.com/wp-content/uploads/2017/05/aloo-tikki-recipe-1-480x270.jpg,,,,,,
Basundi,"Sugar, milk, nuts",vegetarian,dessert,"Step1: Boil 1 liter full cream milk in a heavy-bottom pan on medium flame, stirring continuously.
Step2: Simmer the milk on low flame until it thickens and reduces to half, stirring occasionally.
Step3: Add 1/2 cup sugar, 1/2 tsp cardamom powder, and soaked saffron strands. Mix well.
Step4: Add chopped almonds, pistachios, and cashews. Simmer for 5-7 more minutes.
Step5: Let it cool slightly, garnish with dry fruits, and serve warm or chilled.",Gujarat,https://www.crazymasalafood.com/wp-content/images/basundi-1.jpg,,,,,,
Bhatura,"Chole, rava, yogurt, plain flour, baking soda",vegetarian,main course,"Step 1:
In a bowl, mix 2 cups all-purpose flour, 2 tbsp semolina, 1/2 tsp baking powder, 1/4 tsp baking soda, 1 tsp sugar, and 1/2 tsp salt.

Step 2:
Add 2 tbsp curd and 2 tbsp oil. Mix well.

Step 3:
Gradually add water and knead into a soft dough. Cover and rest for 2 hours.

Step 4:
Divide the dough into small balls and roll into round or oval bhatura shapes.

Step 5:
Heat oil in a deep pan and fry each bhatura on medium flame until golden and puffy.

Step 6:
Drain excess oil and serve hot with chole or pickle.",Punjab,https://www.vegrecipesofindia.com/wp-content/uploads/2010/06/bhatura-recipe-500x500.jpg,,,,,,
Bhindi masala,"Lady Finger, garam masala, kasuri methi, tomatoes, chili powder",vegetarian,main course,"Step 1:
Heat 2 tbsp oil in a pan, add 1 tsp cumin seeds and let them splutter.

Step 2:
Add 1 sliced onion and sauté until golden brown. Add 1 tsp ginger-garlic paste and 1 chopped green chili, sauté for 1 minute.

Step 3:
Add 2 chopped tomatoes, 1 tsp turmeric powder, 1 tsp red chili powder, 1 tsp coriander powder, and salt. Cook until tomatoes turn soft.

Step 4:
Add chopped bhindi and cook on medium flame for 10-12 mins, stirring occasionally.

Step 5:
Sprinkle 1/2 tsp garam masala and garnish with fresh coriander leaves.",Punjab,https://www.vegrecipesofindia.com/wp-content/uploads/2021/06/bhindi-masala-1-500x500.jpg,,,,,,
Bilahi Maas,"Fish (Rohu/Catla), tomatoes, green chilies, onion, turmeric powder, mustard seeds, garlic, ginger paste, mustard oil, salt, coriander leaves, water.",non vegetarian,main course,"Step 1 Marinate Fish
Marinate 4-5 fish pieces with 1/2 tsp turmeric powder and salt. Keep aside for 10 mins

Step 2 Fry Fish
Heat 4 tbsp mustard oil in a pan
Fry the marinated fish pieces until golden brown on both sides and keep aside

Step 3 Tempering
In the same oil, add 1 tsp mustard seeds and let them splutter
Add 3 crushed garlic cloves and fry for a few seconds

Step 4 Onion & Tomatoes
Add 1 sliced onion and fry until golden brown
Add 3 chopped tomatoes, 1/2 tsp turmeric powder, and salt
Cook until tomatoes turn soft and mushy

Step 5 Simmer
Add 2 cups water and 2 green chilies
Let the gravy simmer for 3-4 mins

Step 6 Add Fish
Gently add the fried fish into the gravy
Cook for 5-6 mins on low flame

Step 7 Garnish
Sprinkle chopped coriander leaves and turn off the flame
",Assam,https://usercontent.one/wp/www.sunitabhuyan.net/wp-content/uploads/2021/11/IMG_20211108_0849111-1440x720.jpg,,,,,,
Chicken Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies",non vegetarian,main course,"Step 1 Marinate Chicken
Mix 500g chicken, 1 cup curd, 1 tbsp red chili powder, 1 tsp turmeric powder, 1 tsp garam masala, 1 tbsp ginger garlic paste, 2 tbsp lemon juice, salt, and 2 tbsp mustard oil
Keep aside for 1-2 hours

Step 2 Cook Rice
Boil 2 cups basmati rice with 4-5 cloves, 3-4 cardamom, 1 cinnamon stick, 2 bay leaves, and 1 tsp salt until 70% cooked
Drain and keep aside

Step 3 Fry Onions
Heat 4 tbsp oil
Fry 3 sliced onions until golden brown
Keep half aside for garnishing

Step 4 Cook Chicken
In the same oil, add 1 tbsp ginger garlic paste
Add 2 chopped tomatoes, 1 tsp turmeric powder, 1 tsp cumin powder, 1 tsp coriander powder, and salt
Cook until soft, then add marinated chicken
Cook for 15-20 mins until tender

Step 5 Layering
In a pot, layer half chicken, half cooked rice, fried onions, mint leaves, and coriander leaves
Repeat layers and drizzle 3 tbsp ghee

Step 6 Dum Cooking
Cover and cook on low flame for 20-25 mins

Step 7 Serve
Enjoy hot Chicken Biryani with raita
",Telangana,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/%22Hyderabadi_Dum_Biryani%22.jpg/330px-%22Hyderabadi_Dum_Biryani%22.jpg,,,,,,
